OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName,activity_date,year,month,location_order,location_name
21NDHDWQ_WQX,North Dakota Department Of Environmental Quality,21NDHDWQ_WQX-13-R2603,Sample-Routine,Water,NA,9/5/2013,9:36:00,CST,NA,NA,NA,NA,1,m,NA,NA,NA,NA,NA,RLASH,Lake Ashtabula Water Quality Monitoring,NA,21NDHDWQ_WQX-381171,Lake Ashtabula,NA,NA,NA,NA,47.03622,-98.07417,SOP7.04,21NDHDWQ_WQX,SOP For The Collection And Preservation Of Lake Or Non-Wadable Wetland Water Column Samples For Chemical Analysis.,NA,Kemmerer Bottle,STORET-292718173,NA,NA,Iron,Total Recoverable,0.104,mg/L,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200.7,USEPA,Metals in Water by ICP-AES,NA,https://www.nemi.gov/methods/method_summary/4690/,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-17T13:50:08Z,STORET,9/5/2013,2013,9,21NDHDWQ_WQX-381171,Lake Ashtabula
21NDHDWQ_WQX,North Dakota Department Of Environmental Quality,21NDHDWQ_WQX-13-R1871,Sample-Routine,Water,NA,7/22/2013,10:18:00,CST,NA,NA,NA,NA,11,m,NA,NA,NA,NA,NA,RLASH,Lake Ashtabula Water Quality Monitoring,NA,21NDHDWQ_WQX-381171,Lake Ashtabula,NA,NA,NA,NA,47.03622,-98.07417,SOP7.04,21NDHDWQ_WQX,SOP For The Collection And Preservation Of Lake Or Non-Wadable Wetland Water Column Samples For Chemical Analysis.,NA,Kemmerer Bottle,STORET-292701710,NA,NA,Calcium,Total Recoverable,69,mg/L,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200.7,USEPA,Metals in Water by ICP-AES,NA,https://www.nemi.gov/methods/method_summary/4690/,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-17T13:40:01Z,STORET,7/22/2013,2013,7,21NDHDWQ_WQX-381171,Lake Ashtabula
21NDHDWQ_WQX,North Dakota Department Of Environmental Quality,21NDHDWQ_WQX-13-R1456,Sample-Routine,Water,NA,6/27/2013,10:05:00,CST,NA,NA,NA,NA,11,m,NA,NA,NA,NA,NA,RLASH,Lake Ashtabula Water Quality Monitoring,NA,21NDHDWQ_WQX-381171,Lake Ashtabula,NA,NA,NA,NA,47.03622,-98.07417,SOP7.04,21NDHDWQ_WQX,SOP For The Collection And Preservation Of Lake Or Non-Wadable Wetland Water Column Samples For Chemical Analysis.,NA,Kemmerer Bottle,STORET-292706678,NA,NA,"Hardness, carbonate",Total,350,mg/L,NA,Final,NA,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2340B,APHA,2340 B ~ Hardness by Calculation,NA,https://www.nemi.gov/methods/method_summary/4679/,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-17T13:43:00Z,STORET,6/27/2013,2013,6,21NDHDWQ_WQX-381171,Lake Ashtabula
21NDHDWQ_WQX,North Dakota Department Of Environmental Quality,21NDHDWQ_WQX-13-R2080,Sample-Routine,Water,NA,8/5/2013,10:16:00,CST,NA,NA,NA,NA,1,m,NA,NA,NA,NA,NA,RLASH,Lake Ashtabula Water Quality Monitoring,NA,21NDHDWQ_WQX-381171,Lake Ashtabula,NA,NA,NA,NA,47.03622,-98.07417,SOP7.04,21NDHDWQ_WQX,SOP For The Collection And Preservation Of Lake Or Non-Wadable Wetland Water Column Samples For Chemical Analysis.,NA,Kemmerer Bottle,STORET-292696740,Not Detected,NA,Selenium,Total Recoverable,NA,NA,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200.8,USEPA,200.8 ~ EPA; Metals in Waters by ICP/MS,NA,https://www.nemi.gov/methods/method_summary/4665/,NA,NA,NA,https://www.waterqualitydata.us/data/providers/STORET/organizations/21NDHDWQ_WQX/activities/21NDHDWQ_WQX-13-R2080/results/292696740/resdetectqntlmts,Lower Quantitation Limit,5,ug/L,NA,2014-03-17T13:37:06Z,STORET,8/5/2013,2013,8,21NDHDWQ_WQX-381171,Lake Ashtabula
21NDHDWQ_WQX,North Dakota Department Of Environmental Quality,21NDHDWQ_WQX-2013-8383P,Field Msr/Obs,Water,NA,8/5/2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RLASH,Lake Ashtabula Water Quality Monitoring,NA,21NDHDWQ_WQX-381171,Lake Ashtabula,NA,NA,NA,NA,47.03622,-98.07417,SOP7.02,21NDHDWQ_WQX,"SOP For Taking Field Measurements in Streams, Rivers, Lakes, Wetlands Using Hand Held Meter(s)",NA,Probe/Sensor,STORET-670268431,NA,NA,pH,NA,8.31,None,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-10-06T15:07:20Z,STORET,8/5/2013,2013,8,21NDHDWQ_WQX-381171,Lake Ashtabula
21NDHDWQ_WQX,North Dakota Department Of Environmental Quality,21NDHDWQ_WQX-13-R2761,Sample-Routine,Water,NA,9/17/2013,10:31:00,CST,NA,NA,NA,NA,1,m,NA,NA,NA,NA,NA,RLASH,Lake Ashtabula Water Quality Monitoring,NA,21NDHDWQ_WQX-381171,Lake Ashtabula,NA,NA,NA,NA,47.03622,-98.07417,SOP7.04,21NDHDWQ_WQX,SOP For The Collection And Preservation Of Lake Or Non-Wadable Wetland Water Column Samples For Chemical Analysis.,NA,Kemmerer Bottle,STORET-292711811,NA,NA,Chloride,Dissolved,92.8,mg/L,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4500-CL-(F),APHA,4500 CL F  ~ Chloride in Water by Ion Chromatography,NA,https://www.nemi.gov/methods/method_summary/9722/,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-17T13:46:14Z,STORET,9/17/2013,2013,9,21NDHDWQ_WQX-381171,Lake Ashtabula
21NDHDWQ_WQX,North Dakota Department Of Environmental Quality,21NDHDWQ_WQX-13-R1455,Sample-Routine,Water,NA,6/27/2013,9:45:00,CST,NA,NA,NA,NA,1,m,NA,NA,NA,NA,NA,RLASH,Lake Ashtabula Water Quality Monitoring,NA,21NDHDWQ_WQX-381171,Lake Ashtabula,NA,NA,NA,NA,47.03622,-98.07417,SOP7.04,21NDHDWQ_WQX,SOP For The Collection And Preservation Of Lake Or Non-Wadable Wetland Water Column Samples For Chemical Analysis.,NA,Kemmerer Bottle,STORET-292691254,NA,NA,Cations-Anions,Total,2.41,%,NA,Final,NA,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,USEPA,300.0 ~ EPA; Determination of Inorganic Anions by Ion Chromatography,NA,https://www.nemi.gov/methods/method_summary/4680/,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-17T13:33:56Z,STORET,6/27/2013,2013,6,21NDHDWQ_WQX-381171,Lake Ashtabula
21NDHDWQ_WQX,North Dakota Department Of Environmental Quality,21NDHDWQ_WQX-2013-7876P,Field Msr/Obs,Water,NA,9/12/2013,11:45:00,CST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RLWQLS,Lake Sakakawea Monitoring Project,NA,21NDHDWQ_WQX-382003,Lake Sakakawea,NA,NA,NA,NA,47.55195,-101.515,SOP7.02,21NDHDWQ_WQX,"SOP For Taking Field Measurements in Streams, Rivers, Lakes, Wetlands Using Hand Held Meter(s)",NA,Probe/Sensor,STORET-469507239,NA,NA,pH,NA,8.34,None,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-09-17T10:39:37Z,STORET,9/12/2013,2013,9,21NDHDWQ_WQX-382003,Lake Sakakawea
21NDHDWQ_WQX,North Dakota Department Of Environmental Quality,21NDHDWQ_WQX-13-R2761,Sample-Routine,Water,NA,9/17/2013,10:31:00,CST,NA,NA,NA,NA,1,m,NA,NA,NA,NA,NA,RLASH,Lake Ashtabula Water Quality Monitoring,NA,21NDHDWQ_WQX-381171,Lake Ashtabula,NA,NA,NA,NA,47.03622,-98.07417,SOP7.04,21NDHDWQ_WQX,SOP For The Collection And Preservation Of Lake Or Non-Wadable Wetland Water Column Samples For Chemical Analysis.,NA,Kemmerer Bottle,STORET-292711814,NA,NA,Sodium,Total Recoverable,275,mg/L,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200.7,USEPA,Metals in Water by ICP-AES,NA,https://www.nemi.gov/methods/method_summary/4690/,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-17T13:46:15Z,STORET,9/17/2013,2013,9,21NDHDWQ_WQX-381171,Lake Ashtabula
21NDHDWQ_WQX,North Dakota Department Of Environmental Quality,21NDHDWQ_WQX-13-R2081,Sample-Routine,Water,NA,8/5/2013,10:11:00,CST,NA,NA,NA,NA,11,m,NA,NA,NA,NA,NA,RLASH,Lake Ashtabula Water Quality Monitoring,NA,21NDHDWQ_WQX-381171,Lake Ashtabula,NA,NA,NA,NA,47.03622,-98.07417,SOP7.04,21NDHDWQ_WQX,SOP For The Collection And Preservation Of Lake Or Non-Wadable Wetland Water Column Samples For Chemical Analysis.,NA,Kemmerer Bottle,STORET-292700625,NA,NA,Sodium,Total Recoverable,42,%,NA,Final,NA,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200.7,USEPA,Metals in Water by ICP-AES,NA,https://www.nemi.gov/methods/method_summary/4690/,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-17T13:39:24Z,STORET,8/5/2013,2013,8,21NDHDWQ_WQX-381171,Lake Ashtabula
21NDHDWQ_WQX,North Dakota Department Of Environmental Quality,21NDHDWQ_WQX-2013-8363P,Field Msr/Obs,Water,NA,5/28/2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RLASH,Lake Ashtabula Water Quality Monitoring,NA,21NDHDWQ_WQX-381171,Lake Ashtabula,NA,NA,NA,NA,47.03622,-98.07417,SOP7.02,21NDHDWQ_WQX,"SOP For Taking Field Measurements in Streams, Rivers, Lakes, Wetlands Using Hand Held Meter(s)",NA,Probe/Sensor,STORET-670267688,NA,NA,Specific conductance,NA,613,uS/cm,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-10-06T15:07:16Z,STORET,5/28/2013,2013,5,21NDHDWQ_WQX-381171,Lake Ashtabula
21NDHDWQ_WQX,North Dakota Department Of Environmental Quality,21NDHDWQ_WQX-2013-7876P,Field Msr/Obs,Water,NA,9/12/2013,11:45:00,CST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RLWQLS,Lake Sakakawea Monitoring Project,NA,21NDHDWQ_WQX-382003,Lake Sakakawea,NA,NA,NA,NA,47.55195,-101.515,SOP7.02,21NDHDWQ_WQX,"SOP For Taking Field Measurements in Streams, Rivers, Lakes, Wetlands Using Hand Held Meter(s)",NA,Probe/Sensor,STORET-469507133,NA,NA,Specific conductance,NA,770,uS/cm,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-09-17T10:39:36Z,STORET,9/12/2013,2013,9,21NDHDWQ_WQX-382003,Lake Sakakawea
21NDHDWQ_WQX,North Dakota Department Of Environmental Quality,21NDHDWQ_WQX-2013-7876P,Field Msr/Obs,Water,NA,9/12/2013,11:45:00,CST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RLWQLS,Lake Sakakawea Monitoring Project,NA,21NDHDWQ_WQX-382003,Lake Sakakawea,NA,NA,NA,NA,47.55195,-101.515,SOP7.02,21NDHDWQ_WQX,"SOP For Taking Field Measurements in Streams, Rivers, Lakes, Wetlands Using Hand Held Meter(s)",NA,Probe/Sensor,STORET-469507221,NA,NA,Specific conductance,NA,772,uS/cm,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-09-17T10:39:37Z,STORET,9/12/2013,2013,9,21NDHDWQ_WQX-382003,Lake Sakakawea
